payment_id,order_id,payment_amount,fee,tax,refund,adjustment,actual_settlement,status
pay_0055,ord_0055,10000,200.0,36.0,0.0,0,9764.0,captured
pay_0056,ord_0056,1000,20.0,3.6,0.0,0,976.4,captured
pay_0057,ord_0057,2500,50.0,9.0,0.0,0,2441.0,captured
pay_0058,ord_0058,1000,20.0,3.6,0.0,0,976.4,captured
pay_0059,ord_0059,10000,200.0,36.0,0.0,0,9764.0,captured
pay_0060,ord_0060,500,10.0,1.8,0.0,0,488.2,captured
pay_0061,ord_0061,5000,100.0,18.0,2500.0,0,2382.0,captured
pay_0062,ord_0062,1000,20.0,3.6,200.0,0,776.4,captured
pay_0063,ord_0063,1000,20.0,3.6,500.0,0,476.4,captured
pay_0064,ord_0064,2500,50.0,9.0,1250.0,0,1191.0,captured
pay_0065,ord_0065,10000,200.0,36.0,2000.0,0,7764.0,captured
pay_0066,ord_0066,10000,200.0,36.0,1000.0,0,8764.0,captured
pay_0067,ord_0067,1000,20.0,3.6,100.0,0,876.4,captured
pay_0068,ord_0068,1500,30.0,5.4,300.0,0,1164.6,captured
pay_0069,ord_0069,1000,20.0,3.6,100.0,0,876.4,captured
pay_0070,ord_0070,1000,20.0,3.6,200.0,0,776.4,captured
pay_0071,ord_0071,5000,100.0,18.0,0.0,50,4932.0,captured
pay_0072,ord_0072,5000,100.0,18.0,0.0,-50,4832.0,captured
pay_0073,ord_0073,5000,100.0,18.0,0.0,25,4907.0,captured
pay_0074,ord_0074,2500,50.0,9.0,0.0,25,2466.0,captured
pay_0075,ord_0075,1000,20.0,3.6,0.0,100,1076.4,captured
pay_0076,ord_0076,2500,50.0,9.0,0.0,0,2391.0,captured
pay_0077,ord_0077,2500,50.0,9.0,0.0,0,2341.0,captured
pay_0078,ord_0078,10000,200.0,36.0,0.0,0,9689.0,captured
pay_0079,ord_0079,2500,50.0,9.0,0.0,0,2366.0,captured
pay_0080,ord_0080,1000,20.0,3.6,0.0,0,926.4,captured
pay_0081,ord_0081,500,10.0,1.8,0.0,0,0.0,captured
pay_0082,ord_0082,2500,50.0,9.0,0.0,0,0.0,captured
pay_0083,ord_0083,5000,100.0,18.0,0.0,0,0.0,captured
pay_0084,ord_0084,2500,50.0,9.0,0.0,0,0.0,captured
pay_0085,ord_0085,500,10.0,1.8,0.0,0,0.0,captured
pay_0086,ord_0086,1500,30.0,5.4,0.0,0,2929.2,captured
pay_0087,ord_0087,2500,50.0,9.0,0.0,0,4882.0,captured
pay_0088,ord_0088,1500,30.0,5.4,0.0,0,2929.2,captured
pay_0089,ord_0089,5000,100.0,18.0,0.0,0,9764.0,captured
pay_0090,ord_0090,5000,100.0,18.0,0.0,0,9764.0,captured
pay_0091,ord_0091,10000,200.0,36.0,0.0,0,9564.0,captured
pay_0092,ord_0092,5000,100.0,18.0,0.0,0,4682.0,captured
pay_0093,ord_0093,2500,50.0,9.0,0.0,0,1941.0,captured
pay_0094,ord_0094,5000,100.0,18.0,0.0,0,4382.0,captured
pay_0095,ord_0095,10000,200.0,36.0,0.0,0,9264.0,captured
pay_0096,ord_0096,10000,200.0,36.0,0.0,0,9345.0,captured
pay_0097,ord_0097,2500,50.0,9.0,0.0,0,2178.0,captured
pay_0098,ord_0098,10000,200.0,36.0,0.0,0,9627.0,captured
pay_0099,ord_0099,1000,20.0,3.6,0.0,0,839.4,captured
pay_0100,ord_0100,2500,50.0,9.0,0.0,0,2178.0,captured
